City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Khani,GE,41.9563,42.9566,62.17,96,72,2.1,broken clouds
210,Chuy,UY,-33.6971,-53.4616,43.57,66,13,16.31,few clouds
211,Bambous Virieux,MU,-20.3428,57.7575,68.22,85,98,15.86,moderate rain
212,Cabo San Lucas,MX,22.8909,-109.9124,99.81,67,47,11.79,scattered clouds
213,Nchelenge,ZM,-9.3451,28.734,62.82,47,67,4.9,broken clouds
214,Samarai,PG,-10.6167,150.6667,78.76,86,80,13.27,light rain
215,Richards Bay,ZA,-28.783,32.0377,63.55,65,6,16.42,clear sky
216,Nikolskoye,RU,59.7035,30.7861,69.4,62,89,5.03,overcast clouds
217,Kutum,SD,14.2,24.6667,70.97,80,90,13.53,overcast clouds
218,Darhan,MN,49.4867,105.9228,60.66,81,7,0.92,clear sky
219,Wanning,CN,18.8003,110.3967,81.05,80,100,8.14,overcast clouds
220,Narsaq,GL,60.9167,-46.05,48.54,68,57,5.88,broken clouds
221,Rudnogorsk,RU,57.2639,103.7519,61.84,67,0,1.36,clear sky
222,Necochea,AR,-38.5473,-58.7368,46.04,69,49,23.73,scattered clouds
223,Camopi,GF,3.1655,-52.3158,76.96,81,99,3.06,overcast clouds
224,Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,11.5,broken clouds
225,Upernavik,GL,72.7868,-56.1549,49.62,73,100,17.49,overcast clouds
226,Faya,SA,18.3851,42.4509,65.8,77,26,4.99,scattered clouds
227,Trenggalek,ID,-8.05,111.7167,72.23,94,56,2.84,broken clouds
228,Wainwright,CA,52.839,-110.8572,74.48,26,0,13.18,clear sky
229,San Patricio,US,28.017,-97.5169,96.89,43,86,11.72,overcast clouds
230,Fairbanks,US,64.8378,-147.7164,66.02,67,100,1.01,overcast clouds
231,Elmira,US,42.0898,-76.8077,76.89,91,64,8.61,broken clouds
232,Kiunga,PG,-6.1219,141.2906,73.83,98,100,1.9,overcast clouds
233,Holbeach,GB,52.804,0.0144,63.34,90,93,3.0,overcast clouds
234,Kibala,TD,9.1104,18.3463,69.13,97,100,2.33,overcast clouds
235,Kashi,CN,39.4547,75.9797,85.64,25,100,0.83,overcast clouds
236,Slupca,PL,52.2873,17.8719,72.0,61,94,4.88,overcast clouds
237,Bud,US,39.447,-86.1758,89.69,56,0,0.81,clear sky
238,Itoman,JP,26.1247,127.6694,80.62,94,75,6.91,broken clouds
239,Sorland,NO,67.667,12.6934,55.47,88,4,10.92,clear sky
240,Christchurch,NZ,-43.5333,172.6333,51.48,85,3,4.0,clear sky
241,Jakarta,ID,-6.2146,106.8451,76.51,77,64,3.09,broken clouds
242,Bin Qirdan,TN,33.1378,11.2197,80.71,64,0,16.69,clear sky
243,Sao Filipe,CV,14.8961,-24.4956,74.43,82,17,5.93,few clouds
244,Manacapuru,BR,-3.2997,-60.6206,88.38,61,4,3.91,clear sky
245,Vuktyl,RU,63.8567,57.3094,43.68,97,100,8.97,overcast clouds
246,Aguililla,MX,18.7333,-102.7333,79.7,71,71,1.77,broken clouds
247,Karratha,AU,-20.7377,116.8463,68.18,73,4,6.17,clear sky
248,Abha,SA,18.2164,42.5053,65.73,77,27,3.49,scattered clouds
249,Papetoai,PF,-17.4961,-149.8729,81.99,70,77,9.82,broken clouds
250,Otofuke,JP,42.9917,143.2003,69.55,90,99,1.57,overcast clouds
251,Fernandina Beach,US,30.6697,-81.4626,87.1,81,1,7.0,clear sky
252,Margate,GB,51.3813,1.3862,63.3,86,22,1.99,few clouds
253,Villazon,BO,-22.0866,-65.5942,50.05,10,0,15.66,clear sky
254,Tiksi,RU,71.6872,128.8694,38.82,88,51,8.75,broken clouds
255,Talnakh,RU,69.4865,88.3972,65.32,91,89,6.73,overcast clouds
256,Baykit,RU,61.67,96.37,65.32,89,100,2.17,overcast clouds
257,High Rock,BS,26.6208,-78.2833,85.55,67,1,9.55,clear sky
258,Bialystok,PL,53.1333,23.15,65.19,88,52,3.22,broken clouds
259,San Buenaventura,MX,27.0833,-101.5333,100.53,15,0,16.13,clear sky
260,Poum,NC,-20.2333,164.0167,70.14,63,2,10.71,clear sky
261,Hailar,CN,49.2,119.7,61.34,89,2,5.88,clear sky
262,Lorengau,PG,-2.0226,147.2712,83.75,73,5,4.79,clear sky
